"","Z"
"1459",5.167
"1460",6.068
"1461",5.364
"1462",4.313
"1463",4.013
"1464",4.069
"1465",4.763
"1466",5.365
"1467",5.332
"1468",5.154
"1469",5.297
"1470",5.429
"1471",6.002
"1472",6.541
"1473",6.503
"1474",3.84
"1475",6.62
"1476",6.831
"1481",3.898
"1482",4.067
"1483",4.199
"1484",3.483
"1485",3.354
"1486",3.55
"1487",3.688
"1488",4.029
"1489",4.035
"1490",3.85
"1491",4.539
"1492",4.643
"1493",4.017
"1494",2.803
"1495",2.947
"1496",4.369
"1497",4.848
"1498",4.732
"1499",4.248
"1500",3.172
"1501",3.608
"1502",3.652
"1503",3.705
"1504",3.294
"1505",3.751
"1506",3.879
"1507",3.356
"1508",3.344
"1509",3.928
"1510",3.988
"1511",1.26
"1512",5.228
"1513",5.248
"1514",4.562
"1515",3.769
"1516",4.013
"1517",4.092
"1518",4.533
"1519",4.433
"1520",4.44
"1521",1.671
"1522",4.45
"1523",4.022
"1524",3.661
"1525",3.696
"1526",4.176
"1527",4.483
"1528",4.829
"1529",4.869
"1530",1.628
"1531",4.415
"1532",4.167
"1533",4.23
"1534",5.288
"1535",5.188
"1536",5.118
"1537",3.982
"1538",3.485
"1539",3.553
"1540",4.225
"1541",4.745
"1542",5.96
"1543",6.003
"1544",5.277
"1545",4.505
"1546",3.997
"1547",3.793
"1548",4.701
"1549",5.018
"1550",5.55
"1551",5.828
"1552",5.831
"1553",6.018
"1554",6.351
"1555",6.724
"1556",6.421
"1557",6.601
"1558",6.748
"1563",3.972
"1564",3.948
"1565",3.5
"1566",3.271
"1567",3.831
"1568",3.665
"1569",3.425
"1570",2.913
"1571",3.807
"1572",3.632
"1573",4.666
"1574",4.93
"1575",2.538
"1576",1.467
"1577",2.429
"1578",3.941
"1579",4.884
"1580",4.958
"1581",5.188
"1582",5.066
"1583",4.419
"1584",3.445
"1585",3.369
"1586",3.186
"1587",3.233
"1588",4.744
"1589",2.934
"1590",2.035
"1591",4.139
"1592",4.034
"1593",4.187
"1594",4.695
"1595",4.631
"1596",4.399
"1597",4.424
"1598",4.048
"1599",3.596
"1600",4.323
"1601",5.341
"1602",4.693
"1603",4.828
"1604",4.917
"1605",4.311
"1606",3.68
"1607",3.734
"1608",4.309
"1609",5.335
"1610",5.591
"1611",5.443
"1612",2.753
"1613",4.793
"1614",4.414
"1615",3.852
"1616",4.977
"1617",5.556
"1618",4.713
"1619",4.114
"1620",4.591
"1621",4.809
"1622",4.459
"1623",4.91
"1624",6.208
"1625",5.727
"1626",5.649
"1627",4.837
"1628",4.008
"1629",3.685
"1630",3.976
"1631",5.407
"1632",5.983
"1633",6.098
"1634",5.928
"1635",5.861
"1636",6.38
"1637",6.336
"1638",6.637
"1639",6.351
"1640",6.69
"1645",2.704
"1646",3.205
"1647",3.441
"1648",4.029
"1649",4.413
"1650",3.974
"1651",1.842
"1652",0.788
"1653",3.887
"1654",3.844
"1655",3.815
"1656",4.554
"1657",3.021
"1658",0.532
"1659",2.076
"1660",3.475
"1661",4.24
"1662",5.136
"1663",4.891
"1664",4.752
"1665",4.781
"1666",3.065
"1667",3.01
"1668",3.286
"1669",4.058
"1670",4.447
"1671",3.98
"1672",3.745
"1673",3.611
"1674",3.46
"1675",3.417
"1676",3.721
"1677",4.221
"1678",4.497
"1679",4.335
"1680",4.199
"1681",4.217
"1682",0.499
"1683",4.081
"1684",4.899
"1685",5.294
"1686",4.12
"1687",3.779
"1688",3.827
"1689",3.348
"1690",3.737
"1691",4.875
"1692",5.286
"1693",5.208
"1694",5.215
"1695",5.058
"1696",4.309
"1697",3.666
"1698",3.871
"1699",4.994
"1700",5.403
"1701",5.269
"1702",4.992
"1703",4.614
"1704",4.605
"1705",5.508
"1706",5.531
"1707",5.498
"1708",5.256
"1709",4.475
"1710",4.132
"1711",3.823
"1712",4.51
"1713",5.614
"1714",5.845
"1715",5.504
"1716",3.843
"1717",6.113
"1718",6.508
"1719",5.997
"1720",6.256
"1721",5.985
"1722",6.174
"1727",1.795
"1728",3.428
"1729",3.623
"1730",4.405
"1731",4.603
"1732",4.88
"1733",3.306
"1734",0.973
"1735",3.632
"1736",3.895
"1737",3.894
"1738",3.668
"1739",4.344
"1740",3.483
"1741",3.5
"1742",3.795
"1743",4.095
"1744",4.451
"1745",4.516
"1746",4.23
"1747",3.194
"1748",3.311
"1749",3.681
"1750",3.938
"1751",4.552
"1752",4.585
"1753",4.487
"1754",4.483
"1755",4.334
"1756",3.568
"1757",2.165
"1758",3.095
"1759",4.086
"1760",4.23
"1761",4.48
"1762",4.143
"1763",4.071
"1764",4.503
"1765",4.434
"1766",3.555
"1767",4.833
"1768",3.976
"1769",4.169
"1770",4.017
"1771",4.083
"1772",4.422
"1773",4.357
"1774",5.114
"1775",5.469
"1776",5.404
"1777",4.976
"1778",4.528
"1779",3.994
"1780",4.308
"1781",4.706
"1782",5.379
"1783",5.2
"1784",4.907
"1785",4.719
"1786",5.009
"1787",5.065
"1788",4.853
"1789",4.913
"1790",4.66
"1791",4.513
"1792",4.463
"1793",3.999
"1794",4.34
"1795",5.295
"1796",4.787
"1797",3.238
"1798",1.172
"1799",3.643
"1800",5.441
"1801",5.708
"1802",5.601
"1803",5.447
"1804",5.714
"1809",2.468
"1810",3.757
"1811",4.048
"1812",4.711
"1813",4.811
"1814",4.778
"1815",3.605
"1816",2.701
"1817",2.453
"1818",2.176
"1819",4.064
"1820",4.182
"1821",4.838
"1822",4.64
"1823",4.478
"1824",3.626
"1825",3.718
"1826",4.15
"1827",4.293
"1828",4.285
"1829",4.094
"1830",3.797
"1831",4.025
"1832",4.453
"1833",4.753
"1834",4.743
"1835",4.623
"1836",4.978
"1837",4.82
"1838",4.016
"1839",2.857
"1840",2.988
"1841",3.983
"1842",4.186
"1843",4.063
"1844",3.814
"1845",4.551
"1846",3.167
"1847",1.692
"1848",1.596
"1849",3.142
"1850",4.434
"1851",4.422
"1852",4.126
"1853",4.665
"1854",4.736
"1855",4.059
"1856",4.892
"1857",5.168
"1858",5.215
"1859",4.948
"1860",4.36
"1861",3.587
"1862",2.499
"1863",4.782
"1864",5.206
"1865",4.894
"1866",5.06
"1867",4.9
"1868",5.24
"1869",5.018
"1870",4.707
"1871",4.788
"1872",4.422
"1873",4.294
"1874",4.465
"1875",4.664
"1876",4.442
"1877",4.859
"1878",4.67
"1879",5.511
"1880",4.467
"1881",5.217
"1882",4.988
"1883",4.963
"1884",4.087
"1885",4.908
"1890",1.847
"1891",4.366
"1892",4.047
"1893",4.279
"1894",4.599
"1895",4.553
"1896",4.431
"1897",3.939
"1898",1.784
"1899",0.815
"1900",0.458
"1901",1.276
"1902",3.971
"1903",4.613
"1904",4.574
"1905",4.612
"1906",3.732
"1907",3.313
"1908",3.975
"1909",4.083
"1910",4.229
"1911",4.288
"1912",4.235
"1913",3.879
"1914",3.833
"1915",4.02
"1916",4.343
"1917",4.508
"1918",5.093
"1919",5.176
"1920",4.3
"1921",3.085
"1922",0.456
"1923",2.443
"1924",3.995
"1925",4.376
"1926",4.761
"1927",3.528
"1928",1.488
"1929",1.273
"1930",3.254
"1931",4.192
"1932",4.725
"1933",4.932
"1934",4.841
"1935",4.998
"1936",5.05
"1937",4.688
"1938",5.188
"1939",5.285
"1940",5.113
"1941",4.661
"1942",4.249
"1943",2.979
"1944",1.369
"1945",4.492
"1946",4.944
"1947",4.904
"1948",4.866
"1949",4.962
"1950",5.053
"1951",4.613
"1952",4.066
"1953",4.19
"1954",4.876
"1955",4.788
"1956",4.974
"1957",4.89
"1958",4.708
"1959",3.558
"1960",3.921
"1961",5.162
"1962",4.554
"1963",4.277
"1964",4.23
"1965",4.336
"1966",3.987
"1967",4.567
"1972",3.297
"1973",4.436
"1974",3.776
"1975",3.488
"1976",2.807
"1977",4.281
"1978",3.986
"1979",3.714
"1980",2.501
"1981",1.268
"1982",2.072
"1983",3.117
"1984",4.42
"1985",4.305
"1986",4.381
"1987",4.667
"1988",3.939
"1989",2.19
"1990",3.727
"1991",2.841
"1992",3.702
"1993",4.093
"1994",3.843
"1995",3.276
"1996",3.045
"1997",3.246
"1998",3.585
"1999",4.202
"2000",4.75
"2001",4.999
"2002",4.688
"2003",4.36
"2004",2.064
"2005",2.195
"2006",3.989
"2007",3.51
"2008",4.659
"2009",3.583
"2010",2.996
"2011",2.979
"2012",3.74
"2013",3.565
"2014",4.964
"2015",5.053
"2016",5.001
"2017",4.877
"2018",5.046
"2019",5.305
"2020",4.848
"2021",4.774
"2022",5.074
"2023",4.682
"2024",4.343
"2025",4.441
"2026",3.115
"2027",3.331
"2028",4.512
"2029",5.182
"2030",4.81
"2031",4.491
"2032",4.571
"2033",3.919
"2034",3.203
"2035",3.314
"2036",4.848
"2037",4.922
"2038",4.936
"2039",4.671
"2040",3.958
"2041",3.073
"2042",3.578
"2043",4.57
"2044",4.497
"2045",3.92
"2046",4.167
"2047",3.733
"2048",3.427
